,Line,node_from,node_to,capacity,reactance_ohm,resistance_ohm,reactance,resistance
0,265,DE,DK1_3,2801.5,8.951760011,1.09167805,0.00619928,0.00075601
1,270,DK1_3,DK1_1,3396.205223,26.38598802,3.217803417,0.018272845,0.002228396
2,271,DK1_3,DK1_2,3396.205223,10.38081984,1.265953639,0.007188933,0.000876699
3,272,DK1_1,DK1_2,1698.102612,43.36941063,5.288952516,0.030034218,0.003662709
4,273,DK2_2,DK2_1,3396.205223,10.70459533,1.305438455,0.007413155,0.000904043
5,274,DK2_2,SE4_2,1710.5,8.6449464,1.054261756,0.005986805,0.000730098
6,350,FI_12,FI_7,1698.102612,66.64740548,8.127732376,0.046154713,0.005628624
7,351,FI_12,FI_13,3396.205223,14.77677542,1.802045783,0.010233224,0.001247954
8,352,FI_12,FI_11,3396.205223,10.297891,1.255840366,0.007131503,0.000869696
9,353,FI_3,FI_1,491.5560192,157.9887524,19.26692102,0.109410493,0.013342743
10,354,FI_3,FI_4,3396.205223,27.27673936,3.32643163,0.018889709,0.002303623
11,355,FI_3,FI_2,1698.102612,23.7885937,2.901048012,0.016474095,0.002009036
12,356,FI_3,SE1_2,785.75,72.98744378,8.900907778,0.050545321,0.006164064
13,357,FI_3,SE1_3,785.75,50.69373018,6.182162217,0.035106461,0.004281276
14,358,FI_7,FI_8,1698.102612,39.93967418,4.870691973,0.027659054,0.003373055
15,359,FI_7,FI_4,1698.102612,72.14365039,8.798006145,0.049960977,0.006092802
16,360,FI_7,FI_11,1698.102612,62.16490933,7.581086503,0.043050491,0.00525006
17,361,FI_1,FI_2,491.5560192,136.1381141,16.60220904,0.094278472,0.011497375
18,362,FI_8,FI_9,1698.102612,31.61787451,3.855838355,0.021896035,0.002670248
19,364,FI_8,FI_5,2681.21465,36.68953403,4.474333418,0.025408265,0.003098569
20,365,FI_6,FI_10,3396.205223,33.10036225,4.036629543,0.022922689,0.00279545
21,366,FI_6,FI_5,3396.205223,20.48192288,2.497795474,0.014184157,0.001729775
22,367,FI_9,FI_13,1698.102612,35.23181113,4.296562333,0.024398761,0.002975459
23,368,FI_9,FI_10,3396.205223,18.45843912,2.251029161,0.012782853,0.001558884
24,369,FI_9,FI_5,1698.102612,82.42950974,10.05237924,0.057084148,0.006961481
25,370,FI_4,FI_2,1698.102612,55.47529124,6.765279419,0.038417792,0.004685097
26,371,FI_4,FI_5,6077.419874,10.71151381,1.306282172,0.007417946,0.000904628
27,372,FI_13,FI_14,8490.513059,4.37228629,0.533205645,0.003027899,0.000369256
28,373,FI_10,FI_14,5094.307835,14.02451021,1.710306123,0.009712265,0.001184423
29,757,NO3_2,NO3_1,6099.763329,5.804762506,0.707897867,0.004019919,0.000490234
30,758,NO3_2,NO3_3,2703.558106,23.08003478,2.814638388,0.015983404,0.001949196
31,759,NO2_1,NO1_4,1057.08,51.91387082,6.330959856,0.035951434,0.004384321
32,760,NO2_1,NO1_3,625.95,54.92377167,6.698020935,0.038035853,0.004638519
33,761,NO2_1,NO2_5,1698.102612,41.63109218,5.076962461,0.028830396,0.003515902
34,762,NO2_1,NO2_3,3709.013599,18.15309729,2.213792353,0.012571397,0.001533097
35,763,NO2_1,NO2_2,1698.102612,32.26147857,3.934326655,0.022341744,0.002724603
36,764,NO2_1,NO5_2,101.7983949,67.12815337,8.186360167,0.046487641,0.005669224
37,765,NO1_4,NO1_3,7105.218823,8.739270011,1.065764636,0.006052126,0.000738064
38,766,NO1_4,NO1_5,2703.558106,17.32810709,2.113183791,0.012000074,0.001463424
39,767,NO1_4,NO1_1,2010.910988,30.74726071,3.74966594,0.021293117,0.002596722
40,768,NO1_4,NO2_3,1074.962973,20.94682388,2.554490717,0.014506111,0.001769038
41,769,NO1_4,NO1_2,1005.455494,43.69814238,5.329041754,0.030261871,0.003690472
42,770,NO2_4,NO2_5,2703.558106,19.33480748,2.357903352,0.013389756,0.001632897
43,771,NO2_4,NO2_2,4021.821975,9.373499625,1.14310971,0.006491343,0.000791627
44,772,NO4_2,NO4_1,1698.102612,31.08203775,3.790492408,0.021524957,0.002624995
45,773,NO4_2,NO4_3,1698.102612,64.64987068,7.884130571,0.044771379,0.005459924
46,774,NO1_3,NO2_3,407.3519592,72.15224488,8.799054254,0.049966929,0.006093528
47,775,NO1_3,NO5_1,2964,9.927681589,1.210692877,0.006875126,0.00083843
48,776,NO3_1,NO4_3,1017,47.73426039,5.821251267,0.033056967,0.004031337
49,777,NO3_1,SE2_4,718,29.97937471,3.656021306,0.02076134,0.002531871
50,778,NO3_4,NO5_1,503,35.04615412,4.273921234,0.02427019,0.002959779
51,779,NO3_4,NO3_3,1698.102612,47.41472436,5.782283459,0.032835682,0.004004351
52,780,NO2_5,NO2_3,1698.102612,38.84745206,4.737494154,0.026902668,0.003280813
53,781,NO1_5,NO2_3,907.6850678,25.91574817,3.160457094,0.017947194,0.002188682
54,782,NO1_5,SE3_5,911,29.60804175,3.610736799,0.020504184,0.00250051
55,783,NO1_5,SE3_7,911,39.06197889,4.763655962,0.027051232,0.003298931
56,784,NO3_5,NO1_1,743.5,53.55452983,6.531040223,0.037087625,0.004522881
57,785,NO3_5,NO3_3,1005.455494,65.42653901,7.97884622,0.045309238,0.005525517
58,786,NO1_1,NO1_2,1005.455494,30.5127703,3.721069549,0.021130727,0.002576918
59,787,NO4_1,SE1_1,595,23.72871576,2.893745824,0.016432629,0.002003979
60,788,NO5_1,NO5_2,2703.558106,19.30404294,2.354151578,0.013368451,0.001630299
61,789,NO4_3,SE2_1,202,111.8785878,13.64373022,0.077478246,0.009448567
62,790,NO2_2,NO5_2,579.2016051,11.07577875,1.350704725,0.007670207,0.000935391
63,868,SE4_2,SE4_1,3396.205223,20.32822407,2.479051716,0.014077717,0.001716795
64,869,SE4_2,SE3_9,2224.4,28.27768918,3.44849868,0.019582887,0.002388157
65,870,SE2_3,SE3_1,2242.372378,44.98626948,5.486130424,0.031153926,0.003799259
66,871,SE2_3,SE2_7,2681.21465,20.72272385,2.527161446,0.014350917,0.001750112
67,872,SE2_3,SE2_6,6077.419874,7.663945913,0.93462755,0.005307442,0.000647249
68,873,SE2_3,SE2_2,8490.513059,9.678750787,1.180335462,0.006702736,0.000817407
69,874,SE4_1,SE3_10,2224.4,23.1451362,2.822577585,0.016028488,0.001954694
70,875,SE4_1,SE3_8,1112.2,53.55869407,6.531548057,0.037090508,0.004523233
