Kolonne1,node,desc,type,pmax,pmin,fuelcost,inflow_fac,inflow_ref,storage_cap,storage_price,storval_filling_ref,storval_time_ref,storage_ini,pump_cap,pump_efficiency,pump_deadband,gen_lat,gen_lon,year,status,source
0,DK1_1,DK1_1 wind_off,wind_off,606.5572806,0,0.015,0.8,windoff_DK_Horns Rev,0,1,const,const,0.6,0,0,0,55.7,7.688889,,updated,
1,DK1_1,DK1_1 fossil_gas,fossil_gas,241.1920717,0,137.52,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
2,DK1_1,DK1_1 fossil_other,fossil_other,535.2547049,0,110.19,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
3,DK1_1,DK1_1 solar,solar,494.9354513,0,0.01,0.8,solar_DK,0,1,const,const,0.6,0,0,0,,,,updated,
4,DK1_1,DK1_1 wind_on,wind_on,2353.440504,0,0.015,0.8,windon_DK,0,1,const,const,0.6,0,0,0,,,,updated,
5,DK1_2,DK1_2 wind_off,wind_off,439.496589,0,0.015,0.8,windoff_DK_Horns Rev,0,1,const,const,0.6,0,0,0,55.529722,7.906111,,updated,
6,DK1_2,DK1_2 wind_on,wind_on,617.8800607,0,0.015,0.8,windon_DK,0,1,const,const,0.6,0,0,0,,,,updated,
7,DK1_2,DK1_2 solar,solar,333.2148519,0,0.01,0.8,solar_DK,0,1,const,const,0.6,0,0,0,,,,updated,
8,DK1_2,DK1_2 biomass,biomass,432.628866,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
9,DK1_2,DK1_2 fossil_gas,fossil_gas,165.8683341,0,137.52,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
10,DK1_2,DK1_2 fossil_other,fossil_other,1570.355507,0,110.19,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
11,DK1_3,DK1_3 biomass,biomass,1100.113402,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
12,DK1_3,DK1_3 wind_off,wind_off,222.0477535,0,0.015,0.8,windoff_DK_Horns Rev,0,1,const,const,0.6,0,0,0,,,,updated,
13,DK1_3,DK1_3 solar,solar,385.2351411,0,0.01,0.8,solar_DK,0,1,const,const,0.6,0,0,0,,,,updated,
14,DK1_3,DK1_3 wind_on,wind_on,877.4652925,0,0.015,0.8,windon_DK,0,1,const,const,0.6,0,0,0,,,,updated,
15,DK1_3,DK1_3 fossil_gas,fossil_gas,406.8652666,0,137.52,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
16,DK1_3,DK1_3 fossil_other,fossil_other,530.0454134,0,110.19,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
17,DK2_1,DK2_1 fossil_other,fossil_other,1111.711708,0,110.19,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
18,DK2_1,DK2_1 solar,solar,164.8975663,0,0.01,0.8,solar_DK,0,1,const,const,0.6,0,0,0,,,,updated,
19,DK2_1,DK2_1 wind_on,wind_on,538.4163422,0,0.015,0.8,windon_DK,0,1,const,const,0.6,0,0,0,,,,updated,
20,DK2_2,DK2_2 biomass,biomass,865.257732,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
21,DK2_2,DK2_2 fossil_gas,fossil_gas,840.0743275,0,137.52,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
22,DK2_2,DK2_2 fossil_other,fossil_other,676.6326662,0,110.19,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
23,DK2_2,DK2_2 solar,solar,245.7169894,0,0.01,0.8,solar_DK,0,1,const,const,0.6,0,0,0,,,,updated,
24,DK2_2,DK2_2 wind_on,wind_on,170.7978009,0,0.015,0.8,windon_DK,0,1,const,const,0.6,0,0,0,,,,updated,
25,DK2_2,DK2_2 wind_off,wind_off,431.8983769,0,0.015,0.8,windoff_DE_Baltic2,0,1,const,const,0.6,0,0,0,54.56,11.55,,updated,
26,FI_1,FI_1 hydro,hydro,124.5,0,0,0.46,inflow_NO1,215488.2629,12.5,hydro,const,0.6,0,0,0,,,,created,
27,FI_1,FI_1 ror,ror,175.8949798,0,0,0.46,inflow_NO1,304444.206,15,ror,const,0.6,0,0,0,,,,created,
28,FI_1,FI_1 solar,solar,2.899706787,0,0.01,0.8,solar_FI,0,1,const,const,0.6,0,0,0,,,,created,
29,FI_1,FI_1 wind_on,wind_on,507.3869918,0,0.015,0.8,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated,
30,FI_1,FI_1 biomass,biomass,171.6996593,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created,
