Unnamed: 0,Load,node,demand_avg,demand_ref,flex_fraction,flex_on_off,flex_basevalue,flex_storage,flex_storval_filling,flex_storval_time,flex_storagelevel_init,Unnamed: 12,Unnamed: 13,Unnamed: 14,status
0,DK1_3,DK1_3,1174.4714560523998,load_DK1,0,0,0,0,,,0.5,,,,updated
1,DK1_1,DK1_1,1416.1617627894,load_DK1,0,0,0,0,,,0.5,,,,updated
2,DK1_2,DK1_2,1197.2254606554,load_DK1,0,0,0,0,,,0.5,,,,updated
3,DK2_2,DK2_2,2075.026170888,load_DK2,0,0,0,0,,,0.5,,,,updated
4,DK2_1,DK2_1,306.3975494778,load_DK2,0,0,0,0,,,0.5,,,,updated
5,FI_12,FI_12,942.5310587360001,load_FI,0,0,0,0,,,0.5,,,,updated
6,FI_3,FI_3,252.83825362200002,load_FI,0,0,0,0,,,0.5,,,,updated
7,FI_7,FI_7,916.468300587,load_FI,0,0,0,0,,,0.5,,,,updated
8,FI_1,FI_1,794.8953084870001,load_FI,0,0,0,0,,,0.5,,,,updated
9,FI_8,FI_8,845.746092451,load_FI,0,0,0,0,,,0.5,,,,updated
10,FI_6,FI_6,974.288048093,load_FI,0,0,0,0,,,0.5,,,,updated
11,FI_9,FI_9,645.0065655705,load_FI,0,0,0,0,,,0.5,,,,updated
12,FI_4,FI_4,1215.1476582305,load_FI,0,0,0,0,,,0.5,,,,updated
13,FI_2,FI_2,117.83840769805,load_FI,0,0,0,0,,,0.5,,,,updated
14,FI_13,FI_13,1569.08228432,load_FI,0,0,0,0,,,0.5,,,,updated
15,FI_10,FI_10,1525.89614178,load_FI,0,0,0,0,,,0.5,,,,updated
16,FI_5,FI_5,916.7692121065,load_FI,0,0,0,0,,,0.5,,,,updated
17,FI_14,FI_14,1379.444365361,load_FI,0,0,0,0,,,0.5,,,,updated
18,FI_11,FI_11,609.8962416385,load_FI,0,0,0,0,,,0.5,,,,updated
19,NO3_2,NO3_2,920.1046438674999,load_NO3,0,0,0,0,,,0.5,,,,updated
20,NO2_1,NO2_1,1397.7161119950001,load_NO2,0,0,0,0,,,0.5,,,,updated
21,NO1_4,NO1_4,2359.3194420249997,load_NO1,0,0,0,0,,,0.5,,,,updated
22,NO2_4,NO2_4,798.6245584064999,load_NO2,0,0,0,0,,,0.5,,,,updated
23,NO4_2,NO4_2,481.167718521,load_NO4,0,0,0,0,,,0.5,,,,updated
24,NO1_3,NO1_3,914.4460543434999,load_NO1,0,0,0,0,,,0.5,,,,updated
25,NO3_1,NO3_1,1116.2083635884999,load_NO3,0,0,0,0,,,0.5,,,,updated
26,NO3_4,NO3_4,778.7883249405,load_NO3,0,0,0,0,,,0.5,,,,updated
27,NO2_5,NO2_5,901.038879587,load_NO2,0,0,0,0,,,0.5,,,,updated
28,NO1_5,NO1_5,679.957632137,load_NO1,0,0,0,0,,,0.5,,,,updated
29,NO3_5,NO3_5,530.9266393654999,load_NO3,0,0,0,0,,,0.5,,,,updated
30,NO1_1,NO1_1,300.28263936999997,load_NO1,0,0,0,0,,,0.5,,,,updated
31,NO4_1,NO4_1,1529.9105692849998,load_NO4,0,0,0,0,,,0.5,,,,updated
32,NO2_3,NO2_3,1483.076438445,load_NO2,0,0,0,0,,,0.5,,,,updated
33,NO5_1,NO5_1,784.507609172,load_NO5,0,0,0,0,,,0.5,,,,updated
34,NO4_3,NO4_3,960.7347858324999,load_NO4,0,0,0,0,,,0.5,,,,updated
35,NO2_2,NO2_2,737.308930652,load_NO2,0,0,0,0,,,0.5,,,,updated
36,NO3_3,NO3_3,842.511971784,load_NO3,0,0,0,0,,,0.5,,,,updated
37,NO5_2,NO5_2,1733.78977359,load_NO5,0,0,0,0,,,0.5,,,,updated
38,NO1_2,NO1_2,914.8560754304999,load_NO1,0,0,0,0,,,0.5,,,,updated
39,SE4_2,SE4_2,1528.080548148,load_SE4,0,0,0,0,,,0.5,,,,updated
40,SE2_3,SE2_3,499.48861416299997,load_SE2,0,0,0,0,,,0.5,,,,updated
