Unnamed: 0,Load,node,demand_avg,demand_ref,flex_fraction,flex_on_off,flex_basevalue,flex_storage,flex_storval_filling,flex_storval_time,flex_storagelevel_init,status
0,DK1_1,DK1_1,1731.731173,load_DK1,0,0,0,0,,,0.5,updated
1,DK1_2,DK1_2,1464.008354,load_DK1,0,0,0,0,,,0.5,updated
2,DK1_3,DK1_3,1436.183977,load_DK1,0,0,0,0,,,0.5,updated
3,DK2_1,DK2_1,334.9078881,load_DK2,0,0,0,0,,,0.5,updated
4,DK2_2,DK2_2,2268.107672,load_DK2,0,0,0,0,,,0.5,updated
5,FI_1,FI_1,898.7699916,load_FI,0,0,0,0,,,0.5,updated
6,FI_10,FI_10,1725.295958,load_FI,0,0,0,0,,,0.5,updated
7,FI_11,FI_11,689.5957671,load_FI,0,0,0,0,,,0.5,updated
8,FI_12,FI_12,1065.698366,load_FI,0,0,0,0,,,0.5,updated
9,FI_13,FI_13,1774.125544,load_FI,0,0,0,0,,,0.5,updated
10,FI_14,FI_14,1559.706275,load_FI,0,0,0,0,,,0.5,updated
11,FI_2,FI_2,133.2371994,load_FI,0,0,0,0,,,0.5,updated
12,FI_3,FI_3,285.8784455,load_FI,0,0,0,0,,,0.5,updated
13,FI_4,FI_4,1373.939736,load_FI,0,0,0,0,,,0.5,updated
14,FI_5,FI_5,1036.570034,load_FI,0,0,0,0,,,0.5,updated
15,FI_6,FI_6,1101.60527,load_FI,0,0,0,0,,,0.5,updated
16,FI_7,FI_7,1036.2298,load_FI,0,0,0,0,,,0.5,updated
17,FI_8,FI_8,956.265813,load_FI,0,0,0,0,,,0.5,updated
18,FI_9,FI_9,729.2942094,load_FI,0,0,0,0,,,0.5,updated
19,NO1_1,NO1_1,246.1188505,load_NO1,0,0,0,0,,,0.5,updated
20,NO1_2,NO1_2,749.8379731,load_NO1,0,0,0,0,,,0.5,updated
21,NO1_3,NO1_3,749.50191,load_NO1,0,0,0,0,,,0.5,updated
22,NO1_4,NO1_4,1933.754779,load_NO1,0,0,0,0,,,0.5,updated
23,NO1_5,NO1_5,557.3095773,load_NO1,0,0,0,0,,,0.5,updated
24,NO2_1,NO2_1,1635.217584,load_NO2,0,0,0,0,,,0.5,updated
25,NO2_2,NO2_2,862.5932818,load_NO2,0,0,0,0,,,0.5,updated
26,NO2_3,NO2_3,1735.082432,load_NO2,0,0,0,0,,,0.5,updated
27,NO2_4,NO2_4,934.327729,load_NO2,0,0,0,0,,,0.5,updated
28,NO2_5,NO2_5,1054.144405,load_NO2,0,0,0,0,,,0.5,updated
29,NO3_1,NO3_1,1027.127643,load_NO3,0,0,0,0,,,0.5,updated
30,NO3_2,NO3_2,846.6742813,load_NO3,0,0,0,0,,,0.5,updated
31,NO3_3,NO3_3,775.2740114,load_NO3,0,0,0,0,,,0.5,updated
32,NO3_4,NO3_4,716.635928,load_NO3,0,0,0,0,,,0.5,updated
33,NO3_5,NO3_5,488.5552244,load_NO3,0,0,0,0,,,0.5,updated
34,NO4_1,NO4_1,1401.475986,load_NO4,0,0,0,0,,,0.5,updated
35,NO4_2,NO4_2,629.4783846,load_NO4,0,0,0,0,,,0.5,updated
36,NO4_3,NO4_3,1256.862748,load_NO4,0,0,0,0,,,0.5,updated
37,NO5_1,NO5_1,721.2511697,load_NO5,0,0,0,0,,,0.5,updated
38,NO5_2,NO5_2,1593.990788,load_NO5,0,0,0,0,,,0.5,updated
39,SE1_1,SE1_1,2348.054448,load_SE1,0,0,0,0,,,0.5,updated
40,SE1_2,SE1_2,2000,load_SE1,0,0,0,0,,,0.5,created
41,SE1_3,SE1_3,3087.562282,load_SE1,0,0,0,0,,,0.5,updated
42,SE2_1,SE2_1,100,load_SE2,0,0,0,0,,,0.5,created
43,SE2_2,SE2_2,606.5021143,load_SE2,0,0,0,0,,,0.5,updated
44,SE2_3,SE2_3,645.8133404,load_SE2,0,0,0,0,,,0.5,updated
45,SE2_4,SE2_4,330.5900782,load_SE2,0,0,0,0,,,0.5,updated
46,SE2_5,SE2_5,550.2786841,load_SE2,0,0,0,0,,,0.5,updated
47,SE2_6,SE2_6,301.9493423,load_SE2,0,0,0,0,,,0.5,updated
48,SE2_7,SE2_7,552.2507236,load_SE2,0,0,0,0,,,0.5,updated
49,SE3_1,SE3_1,753.6893517,load_SE3,0,0,0,0,,,0.5,updated
50,SE3_10,SE3_10,482.6672332,load_SE3,0,0,0,0,,,0.5,updated
51,SE3_2,SE3_2,557.6986973,load_SE3,0,0,0,0,,,0.5,updated
52,SE3_3,SE3_3,2503.815296,load_SE3,0,0,0,0,,,0.5,updated
53,SE3_4,SE3_4,1043.585979,load_SE3,0,0,0,0,,,0.5,updated
54,SE3_5,SE3_5,698.5806412,load_SE3,0,0,0,0,,,0.5,updated
55,SE3_6,SE3_6,2482.090141,load_SE3,0,0,0,0,,,0.5,updated
