const,csp,flexdemand,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12,week 13,week 14,week 15,week 16,week 17,week 18,week 19,week 20,week 21,week 22,week 23,week 24,week 25,week 26,week 27,week 28,week 29,week 30,week 31,week 32,week 33,week 34,week 35,week 36,week 37,week 38,week 39,week 40,week 41,week 42,week 43,week 44,week 45,week 46,week 47,week 48,week 49,week 50,week 51,week 52
1,1.2,3.45,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
1,1.195555556,3.4,9.966960278,9.961594573,9.968263767,9.949364866,9.946979224,9.963391518,9.955588087,9.946196613,9.94258147,9.943329649,9.94372563,9.941449184,9.934222127,9.939619153,9.927512478,9.930922359,9.928805143,9.915571217,9.917114702,9.909366966,9.908828996,9.908822864,9.912915915,9.913053303,9.911889293,9.909301883,9.910269631,9.907888723,9.905319552,9.904980186,9.906330175,9.908102035,9.910054183,9.913474875,9.913168843,9.909481678,9.913775836,9.916067066,9.923749349,9.925806164,9.928911879,9.927602509,9.927200827,9.93555672,9.935225491,9.938503124,9.952844981,9.944589527,9.949689158,9.953213114,9.948860091,9.940615933
1,1.191111111,3.35,9.924841604,9.913789876,9.927526396,9.888600381,9.883686679,9.917491038,9.901418332,9.882074739,9.874628638,9.87616966,9.876985261,9.87229647,9.85741092,9.868527161,9.843591074,9.850614398,9.846253572,9.818995691,9.822174803,9.806216812,9.805108757,9.805096125,9.813526572,9.81380955,9.811412041,9.806082761,9.808076028,9.803172079,9.797880364,9.797181372,9.799961942,9.803611437,9.807632271,9.814677861,9.814047527,9.806453082,9.81529775,9.820016989,9.835840168,9.840076584,9.846473418,9.84377651,9.842949168,9.860159778,9.859477547,9.86622848,9.895768364,9.878764627,9.889268323,9.896526607,9.887560696,9.870580225
1,1.186666667,3.3,9.872279401,9.855213894,9.876425118,9.816317577,9.808730093,9.860929036,9.836110395,9.806241018,9.794743134,9.797122701,9.798382109,9.791141921,9.768156423,9.785321549,9.746816532,9.757661586,9.750927824,9.708837612,9.713746632,9.689105127,9.687394126,9.687374621,9.700392482,9.700829441,9.697127332,9.688898132,9.691976033,9.684403608,9.676232416,9.675153068,9.67944668,9.685082042,9.691290807,9.702170243,9.701196914,9.689469964,9.703127443,9.710414648,9.734847983,9.741389638,9.751267298,9.747102873,9.745825334,9.772401068,9.771347603,9.781772044,9.827386006,9.801129715,9.817348979,9.828556846,9.81471215,9.788491784
1,1.182222222,3.25,9.807804012,9.784391493,9.813491606,9.731028838,9.720619412,9.792232214,9.758183011,9.7172046,9.701430416,9.704694994,9.706422801,9.696489838,9.664955562,9.688504751,9.635678927,9.650557479,9.641319293,9.583574867,9.590309653,9.556503466,9.554156108,9.55412935,9.571988819,9.572588293,9.567509293,9.556219486,9.560442121,9.550053355,9.53884313,9.537362349,9.543252845,9.550984113,9.559502045,9.574427767,9.573092436,9.557003994,9.575740969,9.585738435,9.619259029,9.62823366,9.641785025,9.636071764,9.634319082,9.670778878,9.669333607,9.683635111,9.746213843,9.710192298,9.732443839,9.747820142,9.728826319,9.692854061
1,1.177777778,3.2,9.729864702,9.6997689,9.737175863,9.631173465,9.617792589,9.709847815,9.666079005,9.613402992,9.593125947,9.597322423,9.599543446,9.586775043,9.546239066,9.576510551,9.508605192,9.527730939,9.515855643,9.441627628,9.45028491,9.406828488,9.403811059,9.403776662,9.426734254,9.427504852,9.420976013,9.406463443,9.411891462,9.398537143,9.384126873,9.382223393,9.389795375,9.399733593,9.410683033,9.429869418,9.428152906,9.407471895,9.431557484,9.444408802,9.487498108,9.499034616,9.516454321,9.509110166,9.506857167,9.553724692,9.551866857,9.570250836,9.650693146,9.604388975,9.632992389,9.652757976,9.62834222,9.582101405
1,1.173333333,3.15,9.636869053,9.599753667,9.645885479,9.515158942,9.498657093,9.612183401,9.558205896,9.49324366,9.468237171,9.473412438,9.476151496,9.460404974,9.410414332,9.447746378,9.364002683,9.387589345,9.372944239,9.281403184,9.292079701,9.238487446,9.234766228,9.234723808,9.263036059,9.263986393,9.255934759,9.238037258,9.244731315,9.228262217,9.210490877,9.208143426,9.217481507,9.229737729,9.243241031,9.266902473,9.2647856,9.239280923,9.268984266,9.284833043,9.337972555,9.352199853,9.373682554,9.364625438,9.361846947,9.419645914,9.417354757,9.440026638,9.53923142,9.482127202,9.517402114,9.541777853,9.511667334,9.45464125
1,1.168888889,3.1,9.527242096,9.482774472,9.538044598,9.381422265,9.361651542,9.497666429,9.432996447,9.355165755,9.325205696,9.331406139,9.33468778,9.315822009,9.255928653,9.300655854,9.200323257,9.228582233,9.211036058,9.101361511,9.114152955,9.049944537,9.045486178,9.045435355,9.079356019,9.080494605,9.070848011,9.049405171,9.057425263,9.037693779,9.01640209,9.013589629,9.024777504,9.039461577,9.055639767,9.083988335,9.081452128,9.050895195,9.086482514,9.105470796,9.169136786,9.186182389,9.211920627,9.201069375,9.197740489,9.266988932,9.264243915,9.291406901,9.410263292,9.341847222,9.38410979,9.413314151,9.377238999,9.308916541
1,1.164444444,3.05,9.399509496,9.347365105,9.412176913,9.228515732,9.205331846,9.364827968,9.288993539,9.197726371,9.16259409,9.16986496,9.173713135,9.151590429,9.081357249,9.133806031,9.016152292,9.04928982,9.028714522,8.900106063,8.915105787,8.839812605,8.834584567,8.83452497,8.874301603,8.875636752,8.864324797,8.839180124,8.848584782,8.82544691,8.800479482,8.797181486,8.810300804,8.827519896,8.846491043,8.87973363,8.87675958,8.840927381,8.882658397,8.904924764,8.979581874,8.999570183,9.029751799,9.017027217,9.013123641,9.094326944,9.091108036,9.122960364,9.262335794,9.182108563,9.231667224,9.265913345,9.223610279,9.14349282
1,1.16,3,9.252408307,9.192276137,9.267016193,9.055220728,9.028485401,9.212414063,9.124962876,9.019714875,8.979200827,8.987585492,8.992023153,8.966511562,8.885519657,8.946002847,8.810326227,8.848539953,8.824812812,8.676503365,8.693800833,8.606973806,8.600944907,8.60087618,8.646746029,8.648285703,8.635240918,8.606244437,8.617089756,8.59040749,8.561615407,8.557812205,8.572941216,8.592798028,8.614675286,8.653010165,8.649580532,8.60825935,8.656382964,8.682060222,8.768153741,8.791203975,8.826008986,8.811335178,8.80683363,8.900476126,8.896764126,8.933495779,9.094221544,9.001704641,9.058854984,9.098347125,9.04956383,8.957173515
