const,hydro,csp,flexdemand
1,10,1.2,3.45
1,9.6,1.195555556,3.4
1,9.2,1.191111111,3.35
1,8.8,1.186666667,3.3
1,8.4,1.182222222,3.25
1,8,1.177777778,3.2
1,7.6,1.173333333,3.15
1,7.2,1.168888889,3.1
1,6.8,1.164444444,3.05
1,6.4,1.16,3
1,6,1.155555556,2.95
1,5.6,1.151111111,2.9
1,5.2,1.146666667,2.85
1,4.8,1.142222222,2.8
1,4.4,1.137777778,2.75
1,4,1.133333333,2.7
1,3.6,1.128888889,2.65
1,3.2,1.124444444,2.6
1,2.8,1.12,2.55
1,2.473103448,1.115555556,2.5
1,2.219310345,1.111111111,2.45
1,2.03862069,1.106666667,2.4
1,1.931034483,1.102222222,2.35
1,1.896551724,1.097777778,2.3
1,1.862068966,1.093333333,2.25
1,1.827586207,1.088888889,2.2
1,1.793103448,1.084444444,2.15
1,1.75862069,1.08,2.1
1,1.724137931,1.075555556,2.05
1,1.689655172,1.071111111,2
1,1.655172414,1.066666667,1.95
1,1.620689655,1.062222222,1.9
1,1.586206897,1.057777778,1.85
1,1.551724138,1.053333333,1.8
1,1.517241379,1.048888889,1.75
1,1.482758621,1.044444444,1.7
1,1.448275862,1.04,1.65
1,1.413793103,1.035555556,1.6
1,1.379310345,1.031111111,1.55
1,1.344827586,1.026666667,1.5
1,1.310344828,1.022222222,1.45
1,1.275862069,1.017777778,1.4
1,1.24137931,1.013333333,1.35
1,1.206896552,1.008888889,1.3
1,1.172413793,1.004444444,1.25
1,1.137931034,1,1.2
1,1.103448276,0.995555556,1.15
1,1.068965517,0.991111111,1.1
1,1.032157215,0.986666667,1.05
1,1,0.982222222,1
1,0.953889525,0.977777778,0.98
1,0.917961821,0.973333333,0.96
1,0.882034116,0.968888889,0.94
1,0.853679503,0.964444444,0.92
1,0.825324891,0.96,0.9
1,0.801951205,0.955555556,0.88
1,0.778577519,0.951111111,0.86
1,0.758678261,0.946666667,0.84
1,0.738779003,0.942222222,0.82
1,0.722200616,0.937777778,0.8
1,0.705622228,0.933333333,0.78
1,0.690831527,0.928888889,0.76
1,0.676040825,0.924444444,0.74
1,0.662889029,0.92,0.72
1,0.649737232,0.915555556,0.7
1,0.636266361,0.911111111,0.68
1,0.62279549,0.906666667,0.66
1,0.609685219,0.902222222,0.64
1,0.596574949,0.897777778,0.62
1,0.58439328,0.893333333,0.6
1,0.572211612,0.888888889,0.58
1,0.56039968,0.884444444,0.56
1,0.548587747,0.88,0.54
1,0.536744333,0.875555556,0.52
1,0.524900919,0.871111111,0.5
1,0.513311021,0.866666667,0.48
1,0.501721123,0.862222222,0.46
1,0.489752089,0.857777778,0.44
1,0.477783054,0.853333333,0.42
1,0.465777479,0.848888889,0.4
1,0.453771903,0.844444444,0.38
1,0.441855425,0.84,0.36
1,0.429938948,0.835555556,0.34
1,0.418153852,0.831111111,0.32
1,0.406368757,0.826666667,0.3
1,0.395191788,0.822222222,0.28
1,0.384014819,0.817777778,0.26
1,0.373612384,0.813333333,0.24
1,0.363209948,0.808888889,0.22
1,0.353913611,0.804444444,0.2
1,0.344617273,0.8,0.18
1,0.310155546,0.72,0.16
1,0.275693818,0.64,0.14
1,0.241232091,0.56,0.12
1,0.206770364,0.48,0.1
1,0.172308637,0.4,0.08
1,0.137846909,0.32,0.06
1,0.103385182,0.24,0.04
1,0.068923455,0.16,0.02
1,0.034461727,0.08,0
1,0.00001,0,-0.02
