Unnamed: 0,Load,node,demand_avg,demand_ref,flex_fraction,flex_on_off,flex_basevalue,flex_storage,flex_storval_filling,flex_storval_time,flex_storagelevel_init,Unnamed: 12,Unnamed: 13,Unnamed: 14,status
0,DK1_3,DK1_3,972.5515484,load_DK1,0,0,0,0,,,0.5,,,,updated
1,DK1_1,DK1_1,1172.689475,load_DK1,0,0,0,0,,,0.5,,,,updated
2,DK1_2,DK1_2,991.3935921,load_DK1,0,0,0,0,,,0.5,,,,updated
3,DK2_2,DK2_2,1591.885169,load_DK2,0,0,0,0,,,0.5,,,,updated
4,DK2_1,DK2_1,235.057139,load_DK2,0,0,0,0,,,0.5,,,,updated
5,FI_12,FI_12,734.3308571,load_FI,0,0,0,0,,,0.5,,,,updated
6,FI_3,FI_3,196.9876003,load_FI,0,0,0,0,,,0.5,,,,updated
7,FI_7,FI_7,714.0252265,load_FI,0,0,0,0,,,0.5,,,,updated
8,FI_1,FI_1,619.3070751,load_FI,0,0,0,0,,,0.5,,,,updated
9,FI_8,FI_8,658.9251858,load_FI,0,0,0,0,,,0.5,,,,updated
10,FI_6,FI_6,759.0728929,load_FI,0,0,0,0,,,0.5,,,,updated
11,FI_9,FI_9,502.5279748,load_FI,0,0,0,0,,,0.5,,,,updated
12,FI_4,FI_4,946.7278697,load_FI,0,0,0,0,,,0.5,,,,updated
13,FI_2,FI_2,91.80851721,load_FI,0,0,0,0,,,0.5,,,,updated
14,FI_13,FI_13,1222.48018,load_FI,0,0,0,0,,,0.5,,,,updated
15,FI_10,FI_10,1188.833632,load_FI,0,0,0,0,,,0.5,,,,updated
16,FI_5,FI_5,714.2596682,load_FI,0,0,0,0,,,0.5,,,,updated
17,FI_14,FI_14,1074.73229,load_FI,0,0,0,0,,,0.5,,,,updated
18,FI_11,FI_11,475.1733386,load_FI,0,0,0,0,,,0.5,,,,updated
19,NO3_2,NO3_2,775.8727999,load_NO3,0,0,0,0,,,0.5,,,,updated
20,NO2_1,NO2_1,1192.576446,load_NO2,0,0,0,0,,,0.5,,,,updated
21,NO1_4,NO1_4,2061.356718,load_NO1,0,0,0,0,,,0.5,,,,updated
22,NO2_4,NO2_4,681.4122192,load_NO2,0,0,0,0,,,0.5,,,,updated
23,NO4_2,NO4_2,411.5391082,load_NO4,0,0,0,0,,,0.5,,,,updated
24,NO1_3,NO1_3,798.9590067,load_NO1,0,0,0,0,,,0.5,,,,updated
25,NO3_1,NO3_1,941.2361019,load_NO3,0,0,0,0,,,0.5,,,,updated
26,NO3_4,NO3_4,656.7086496,load_NO3,0,0,0,0,,,0.5,,,,updated
27,NO2_5,NO2_5,768.7954196,load_NO2,0,0,0,0,,,0.5,,,,updated
28,NO1_5,NO1_5,594.0845518,load_NO1,0,0,0,0,,,0.5,,,,updated
29,NO3_5,NO3_5,447.700749,load_NO3,0,0,0,0,,,0.5,,,,updated
30,NO1_1,NO1_1,262.3594012,load_NO1,0,0,0,0,,,0.5,,,,updated
