node,desc,type,pmax,pmin,fuelcost,inflow_fac,inflow_ref,storage_cap,storage_price,storval_filling_ref,storval_time_ref,storage_ini,pump_cap,pump_efficiency,pump_deadband,gen_lat,gen_lon,year,status
DK1_1,HornsRev23,wind_off,606.5572806,0,0.015,1,windoff_DK_Horns Rev,0,1,const,const,0.6,0,0,0,55.7,7.688889,,updated
DK1_1,DK1 1 CCGT,fossil_gas,241.1920717,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,updated
DK1_1,DK1 1 coal,fossil_other,535.2547049,0,85,1,const,0,1,const,const,0.6,0,0,0,,,,updated
DK1_1,DK1 1 solar,solar,494.9354513,0,0.01,1,solar_DK,0,1,const,const,0.6,0,0,0,,,,updated
DK1_1,DK1 1 onwind,wind_on,2353.440504,0,0.015,1,windon_DK,0,1,const,const,0.6,0,0,0,,,,updated
DK1_2,Anholt,wind_off,439.496589,0,0.015,1,windoff_DK_Horns Rev,0,1,const,const,0.6,0,0,0,55.529722,7.906111,,updated
DK1_2,DK1 2 onwind,wind_on,617.8800607,0,0.015,1,windon_DK,0,1,const,const,0.6,0,0,0,,,,updated
DK1_2,DK1 2 solar,solar,333.2148519,0,0.01,1,solar_DK,0,1,const,const,0.6,0,0,0,,,,updated
DK1_2,DK1 2 biomass,biomass,432.628866,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated
DK1_2,DK1 2 CCGT,fossil_gas,165.8683341,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,updated
DK1_2,DK1 2 coal,fossil_other,1570.355507,0,85,1,const,0,1,const,const,0.6,0,0,0,,,,updated
DK1_3,DK1 0 biomass,biomass,1100.113402,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated
DK1_3,HornsRev1,wind_off,222.0477535,0,0.015,1,windoff_DK_Horns Rev,0,1,const,const,0.6,0,0,0,,,,updated
DK1_3,DK1 0 solar,solar,385.2351411,0,0.01,1,solar_DK,0,1,const,const,0.6,0,0,0,,,,updated
DK1_3,DK1 0 onwind,wind_on,877.4652925,0,0.015,1,windon_DK,0,1,const,const,0.6,0,0,0,,,,updated
DK1_3,DK1 0 CCGT,fossil_gas,406.8652666,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,updated
DK1_3,DK1 0 coal,fossil_other,530.0454134,0,85,1,const,0,1,const,const,0.6,0,0,0,,,,updated
DK2_1,DK2 1 coal,fossil_other,1111.711708,0,85,1,const,0,1,const,const,0.6,0,0,0,,,,updated
DK2_1,DK2 1 solar,solar,164.8975663,0,0.01,1,solar_DK,0,1,const,const,0.6,0,0,0,,,,updated
DK2_1,DK2 1 onwind,wind_on,538.4163422,0,0.015,1,windon_DK,0,1,const,const,0.6,0,0,0,,,,updated
DK2_2,DK2 0 biomass,biomass,865.257732,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated
DK2_2,DK2 0 CCGT,fossil_gas,840.0743275,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,updated
DK2_2,DK2 0 coal,fossil_other,676.6326662,0,85,1,const,0,1,const,const,0.6,0,0,0,,,,updated
DK2_2,DK2 0 solar,solar,245.7169894,0,0.01,1,solar_DK,0,1,const,const,0.6,0,0,0,,,,updated
DK2_2,DK2 0 onwind,wind_on,170.7978009,0,0.015,1,windon_DK,0,1,const,const,0.6,0,0,0,,,,updated
DK2_2,Nysted,wind_off,431.8983769,0,0.015,1,windoff_DE_Baltic2,0,1,const,const,0.6,0,0,0,54.56,11.55,,updated
FI_1,FI_1 hydro,hydro,124.5,0,0,0.46,inflow_NO1,2001409.8837209302,10,const,const,0.6,0,0,0,,,,created
FI_1,FI_1 ror,ror,175.89497977742317,0,0,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
FI_1,FI_1 solar,solar,2.899706786930511,0,0.01,1,solar_FI,0,1,const,const,0.6,0,0,0,,,,created
FI_1,FI2 11 onwind,wind_on,507.3869918237558,0,0.015,1,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_1,FI_1 biomass,biomass,171.69965931973644,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created
FI_1,FI_1 fossil_other,fossil_other,198.78415462744908,0,85,1,const,0,1,const,const,0.6,0,0,0,,,,created
FI_1,FI_1 fossil_gas,fossil_gas,107.4742387836798,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,created
FI_10,FI2 6 coal,fossil_other,746.0032802988601,0,85,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_10,FI2 6 nuclear,nuclear,3170.968423519646,0,11.4,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_10,FI2 6 solar,solar,10.882108682199386,0,0.01,1,solar_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_10,FI2 6 onwind,wind_on,1904.1374851576118,0,0.015,1,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_10,FI2 6 biomass,biomass,644.3597545225722,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_10,FI_10 ror,ror,660.1040819776694,0,0,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
FI_10,FI_10 hydro,hydro,16.8,0,0,0.46,inflow_NO1,270069.76744186046,10,const,const,0.6,0,0,0,,,,created
FI_10,FI_10 fossil_gas,fossil_gas,403.3326239232198,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,created
FI_10,Tahkoluoto,wind_off,44,0,0.015,1,windoff_DE_Baltic2,0,1,const,const,0.6,0,0,0,61.629,21.354,,updated
FI_11,FI_11 ror,ror,183.95801978607048,0,0,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
FI_11,FI2 9 onwind,wind_on,530.6456523046802,0,0.015,1,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_11,FI2 9 solar,solar,3.0326295790758717,0,0.01,1,solar_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_11,FI2 9 oil,fossil_other,207.8964362506906,0,85,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_11,FI2 9 CCGT,fossil_gas,112.40086652659933,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_11,FI2 9 biomass,biomass,179.57038550145003,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_12,FI2 0 biomass,biomass,242.4311538571823,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_12,FI2 0 CCGT,fossil_gas,151.7481387061486,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_12,FI2 0 oil,fossil_other,280.6730785942657,0,85,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_12,FI2 0 nuclear,nuclear,1193.0315764803538,0,11.4,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_12,FI2 0 solar,solar,4.094237956,0,0.01,1,solar_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_12,FI2 0 onwind,wind_on,716.4045308377532,0,0.015,1,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_12,FI_12 ror,ror,248.3547321763661,0,0,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
FI_13,FI2 5 biomass,biomass,308.03840631180134,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_13,FI2 5 CCGT,fossil_gas,192.81455400472797,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_13,FI2 5 coal,fossil_other,356.6294448927861,0,85,1,const,0,1,const,const,0.6,0,0,0,,,,updated
