Name,Output (MW),Closest Node,lat,lng,Storage Capacity (MWh)
Pamilon vesivoimalaitos,85,FI_7,62.80093,30.42866,1366424.419
Porttipahdan voimalaitos,40.5,FI_1,67.96171,26.75062,651061.0465
Seitenoikean vesivoimalaitos,39,FI_4,64.592507,28.415753,626947.6744
Kurkiaskan voimalaitos,27,FI_1,67.285457,26.730102,434040.6977
Jumiskon voimalaitos,25.8,FI_2,66.51005,27.7792,414750
Kokkosnivan voimalaitos,25,FI_1,67.22325,27.32198,401889.5349
Vajukosken voimalaitos,21,FI_1,67.69538,26.80403,337587.2093
Tyrvään voimalaitos,16.8,FI_10,61.328575,22.846477,270069.7674
Matarakoski,11,FI_1,67.584805,26.745331,176831.3953
Hirvikosken voimalaitos,8,FI_6,62.80973,23.03563,128604.6512
Kaitfors kraftverk,7.5,FI_6,63.69413,23.401303,120566.8605
Koivukosken voimalaitos,6.5,FI_4,64.226554,27.735643,104491.2791
Hinkuan voimalaitos,6.3,FI_5,63.70071,25.363323,101276.1628
Kyrkösjärven voimalaitos,6,FI_6,62.770266,22.818783,96453.48837
Pitkämön voimalaitos,6,FI_6,62.585038,22.411938,96453.48837
Ämmäkosken voimalaitos,4.9,FI_4,64.229428,27.729916,78770.34884
Kuhankosken voimalaitos,3.4,FI_8,62.375932,25.9479,54656.97674
Juvan voimalaitos,1.3,FI_14,60.575759,22.759762,20898.25581
Askalan vesivoimalaitos,1,FI_14,60.504699,22.692315,16075.5814
Juntolankosken voimalaitos,1,FI_14,60.539579,22.70329,16075.5814
Kalajärven voimalaitos,1,FI_6,62.550818,23.09227,16075.5814
