Node,NO4_1,NO4_1,NO4_1,NO4_1,NO4_1,NO4_1,NO4_2,NO4_2,NO4_2,NO4_2,NO4_2,NO4_2,NO4_3,NO4_3,NO4_3,NO4_3,NO4_3,NO4_3
Week,Load,biomass,fossil_gas,hydro,ror,wind_on,Load,biomass,fossil_gas,hydro,ror,wind_on,Load,biomass,fossil_gas,hydro,ror,wind_on
1,278560.9712,4697.931543,0,287659.0351,6357.139406,35274.93686,87609.40001,2128.984128,0,127905.7194,2880.895298,15985.71202,174927.3588,6109.08433,0,384854.2613,8266.680851,45870.73312
2,255591.9367,4697.931543,0,290329.3255,8304.643593,30485.62009,80385.47583,2128.984128,0,125336.1458,3763.455094,13815.31441,160503.5415,6109.08433,0,383969.8799,10799.17142,39642.8135
3,288701.2099,4697.931543,0,297706.6901,6620.069858,32427.0403,90798.57696,2128.984128,0,135673.0577,3000.048749,14695.1171,181295.1036,6109.08433,0,351158.7698,8608.589686,42167.3926
4,261461.611,4697.931543,0,293570.9664,4423.544053,18682.21744,82231.53002,2128.984128,0,135381.7767,2004.638635,8466.309919,164189.5088,6109.08433,0,388443.0069,5752.277019,24293.93464
5,254419.8261,4697.931543,0,297628.1357,4052.418924,32595.52884,80016.83875,2128.984128,0,118282.3999,1836.454084,14771.47186,159767.4937,6109.08433,0,320004.7463,5269.674264,42386.4913
6,281480.4159,4697.931543,0,299813.4493,4606.231233,29279.38622,88527.58605,2128.984128,0,109518.1967,2087.427859,13268.67963,176760.6765,6109.08433,0,293524.8087,5989.839312,38074.25415
7,276131.2361,4697.931543,0,299813.4493,3013.669781,14716.13328,86845.23111,2128.984128,0,88074.47235,1365.719162,6668.980571,173401.5631,6109.08433,0,337719.202,3918.908282,19136.52815
8,251865.2407,4697.931543,0,266563.8718,2031.625883,21060.66731,79213.40355,2128.984128,0,58976.72605,920.6816273,9544.163433,158163.296,6109.08433,0,233357.8942,2641.880524,27386.81726
9,240024.9856,4697.931543,0,174680.3847,2204.683871,16088.45443,75489.55939,2128.984128,0,68385.25655,999.1071441,7290.881917,150727.9954,6109.08433,0,83273.9869,2866.921232,20921.06365
10,242122.3566,4697.931543,0,154222.7188,1703.564643,18221.97559,76149.19744,2128.984128,0,66356.30039,772.0125448,8257.739914,152045.0771,6109.08433,0,157349.1472,2215.277079,23695.4465
11,254136.49,4697.931543,6043.103036,133943.8896,3806.607037,17249.86475,79927.72755,2128.984128,168.528119,77166.88244,1725.058334,7817.20379,159589.5677,6109.08433,0,173573.79,4950.026025,22431.33546
12,241702.7684,4697.931543,15619.09708,106898.7904,8116.7406,37185.54088,76017.23397,2128.984128,1348.224952,43997.0603,3678.302195,16851.54958,151781.5892,6109.08433,0,134138.4131,10554.8266,48355.23953
